pattern,session_id,block,start,end
monday,mon-b,B,08:10,09:30
monday,mon-a,A,09:40,10:20
monday,mon-c,C,10:30,11:50
monday,mon-f,F,12:45,14:05
monday,mon-d,D,14:15,14:55
tuesday,tue-a,A,08:10,09:30
tuesday,tue-e,E,09:40,10:20
tuesday,tue-s,S,10:30,11:50
tuesday,tue-d,D,12:45,14:05
tuesday,tue-g,G,14:15,15:35
wednesday,wed-e,E,08:10,09:30
wednesday,wed-g,G,09:40,10:20
wednesday,wed-c,C,10:30,11:50
wednesday,wed-f,F,12:45,13:25
wednesday,wed-el,El,13:35,14:55
wednesday,wed-t,T,15:05,15:45
thursday,thu-f,F,08:10,09:30
thursday,thu-b,B,09:40,10:20
thursday,thu-s,S,10:30,11:50
thursday,thu-g,G,12:45,14:05
thursday,thu-e,E,14:15,15:35
thursday,thu-t,T,15:45,17:05
friday,fri-d,D,08:10,09:30
friday,fri-c,C,09:40,10:20
friday,fri-a,A,10:30,11:50
friday,fri-b,B,12:45,14:05
